Series Name,Series Code,Country Name,Country Code,2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Credit card ownership, female  (% age 15+)",fin7.t.a.2,"Congo, Dem. Rep.",COD,..,..,..
Credit card ownership (% age 15+),fin7.t.a,Kenya,KEN,..,..,..
Credit card ownership (% age 15+),fin7.t.a,Tanzania,TZA,..,..,..
Credit card ownership (% age 15+),fin7.t.a,Uganda,UGA,..,..,..
Credit card ownership (% age 15+),fin7.t.a,Rwanda,RWA,..,..,..
Credit card ownership (% age 15+),fin7.t.a,Burundi,BDI,..,..,..
Credit card ownership (% age 15+),fin7.t.a,South Sudan,SSD,..,..,..
Credit card ownership (% age 15+),fin7.t.a,Somalia,SOM,..,..,..
Credit card ownership (% age 15+),fin7.t.a,"Congo, Dem. Rep.",COD,..,..,..
"Credit card ownership, male (% age 15+)",fin7.t.a.1,Kenya,KEN,..,..,..
"Credit card ownership, male (% age 15+)",fin7.t.a.1,Tanzania,TZA,..,..,..
"Credit card ownership, male (% age 15+)",fin7.t.a.1,Uganda,UGA,..,..,..
"Credit card ownership, male (% age 15+)",fin7.t.a.1,Rwanda,RWA,..,..,..
"Credit card ownership, male (% age 15+)",fin7.t.a.1,Burundi,BDI,..,..,..
"Credit card ownership, male (% age 15+)",fin7.t.a.1,South Sudan,SSD,..,..,..
"Credit card ownership, male (% age 15+)",fin7.t.a.1,Somalia,SOM,..,..,..
"Credit card ownership, male (% age 15+)",fin7.t.a.1,"Congo, Dem. Rep.",COD,..,..,..
Debit card ownership (% age 15+),fin2.t.a,Kenya,KEN,..,..,..
Debit card ownership (% age 15+),fin2.t.a,Tanzania,TZA,..,..,..
Debit card ownership (% age 15+),fin2.t.a,Uganda,UGA,..,..,..
Debit card ownership (% age 15+),fin2.t.a,Rwanda,RWA,..,..,..
Debit card ownership (% age 15+),fin2.t.a,Burundi,BDI,..,..,..
Debit card ownership (% age 15+),fin2.t.a,South Sudan,SSD,..,..,..
Debit card ownership (% age 15+),fin2.t.a,Somalia,SOM,..,..,..
Debit card ownership (% age 15+),fin2.t.a,"Congo, Dem. Rep.",COD,..,..,..
"Debit card ownership, female (% age 15+)",fin2.t.a.2,Kenya,KEN,..,..,..
"Debit card ownership, female (% age 15+)",fin2.t.a.2,Tanzania,TZA,..,..,..
"Debit card ownership, female (% age 15+)",fin2.t.a.2,Uganda,UGA,..,..,..
"Debit card ownership, female (% age 15+)",fin2.t.a.2,Rwanda,RWA,..,..,..
"Debit card ownership, female (% age 15+)",fin2.t.a.2,Burundi,BDI,..,..,..
"Debit card ownership, female (% age 15+)",fin2.t.a.2,South Sudan,SSD,..,..,..
"Debit card ownership, female (% age 15+)",fin2.t.a.2,Somalia,SOM,..,..,..
"Debit card ownership, female (% age 15+)",fin2.t.a.2,"Congo, Dem. Rep.",COD,..,..,..
"Debit card ownership, male  (% age 15+)",fin2.t.a.1,Kenya,KEN,..,..,..
"Debit card ownership, male  (% age 15+)",fin2.t.a.1,Tanzania,TZA,..,..,..
"Debit card ownership, male  (% age 15+)",fin2.t.a.1,Uganda,UGA,..,..,..
"Debit card ownership, male  (% age 15+)",fin2.t.a.1,Rwanda,RWA,..,..,..
"Debit card ownership, male  (% age 15+)",fin2.t.a.1,Burundi,BDI,..,..,..
"Debit card ownership, male  (% age 15+)",fin2.t.a.1,South Sudan,SSD,..,..,..
"Debit card ownership, male  (% age 15+)",fin2.t.a.1,Somalia,SOM,..,..,..
"Debit card ownership, male  (% age 15+)",fin2.t.a.1,"Congo, Dem. Rep.",COD,..,..,..
Decision maker about a woman's own health care: mainly husband (% of women age 15-49),SG.DMK.HLTH.HB.ZS,Kenya,KEN,..,..,..
Decision maker about a woman's own health care: mainly husband (% of women age 15-49),SG.DMK.HLTH.HB.ZS,Tanzania,TZA,..,..,..
Decision maker about a woman's own health care: mainly husband (% of women age 15-49),SG.DMK.HLTH.HB.ZS,Uganda,UGA,..,..,..
Decision maker about a woman's own health care: mainly husband (% of women age 15-49),SG.DMK.HLTH.HB.ZS,Rwanda,RWA,..,17.5,..
Decision maker about a woman's own health care: mainly husband (% of women age 15-49),SG.DMK.HLTH.HB.ZS,Burundi,BDI,..,..,..
Decision maker about a woman's own health care: mainly husband (% of women age 15-49),SG.DMK.HLTH.HB.ZS,South Sudan,SSD,..,..,..
Decision maker about a woman's own health care: mainly husband (% of women age 15-49),SG.DMK.HLTH.HB.ZS,Somalia,SOM,..,..,..
